freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
45 	 180 	 -300.0     	   1e-30     	    -55.50254
45 	 195 	 -300.0     	   1e-30     	    -55.54252
45 	 210 	 -300.0     	   1e-30     	    -55.56757
45 	 225 	 -300.0     	   1e-30     	    -55.57608
45 	 240 	 -300.0     	   1e-30     	    -55.56751
45 	 255 	 -300.0     	   1e-30     	    -55.54239
45 	 270 	 -300.0     	   1e-30     	    -55.50235
45 	 285 	 -300.0     	   1e-30     	    -55.45
45 	 300 	 -300.0     	   1e-30     	    -55.38877
45 	 315 	 -300.0     	   1e-30     	    -55.32273
45 	 330 	 -300.0     	   1e-30     	    -55.25636
45 	 345 	 -300.0     	   1e-30     	    -55.1942
45 	 360 	 -300.0     	   1e-30     	    -55.14058
60 	 0 	 -300.0     	   1e-30     	    -55.16483
60 	 15 	 -300.0     	   1e-30     	    -55.13099
60 	 30 	 -300.0     	   1e-30     	    -55.1097
60 	 45 	 -300.0     	   1e-30     	    -55.10246
60 	 60 	 -300.0     	   1e-30     	    -55.10975
60 	 75 	 -300.0     	   1e-30     	    -55.13109
60 	 90 	 -300.0     	   1e-30     	    -55.16497
60 	 105 	 -300.0     	   1e-30     	    -55.20904
60 	 120 	 -300.0     	   1e-30     	    -55.26027
60 	 135 	 -300.0     	   1e-30     	    -55.31511
60 	 150 	 -300.0     	   1e-30     	    -55.36983
60 	 165 	 -300.0     	   1e-30     	    -55.42071
60 	 180 	 -300.0     	   1e-30     	    -55.46431
60 	 195 	 -300.0     	   1e-30     	    -55.49771
60 	 210 	 -300.0     	   1e-30     	    -55.51867
60 	 225 	 -300.0     	   1e-30     	    -55.5258
60 	 240 	 -300.0     	   1e-30     	    -55.51863
60 	 255 	 -300.0     	   1e-30     	    -55.49761
60 	 270 	 -300.0     	   1e-30     	    -55.46417
60 	 285 	 -300.0     	   1e-30     	    -55.42054
60 	 300 	 -300.0     	   1e-30     	    -55.36964
60 	 315 	 -300.0     	   1e-30     	    -55.31491
60 	 330 	 -300.0     	   1e-30     	    -55.26008
60 	 345 	 -300.0     	   1e-30     	    -55.20887
60 	 360 	 -300.0     	   1e-30     	    -55.16483
75 	 0 	 -300.0     	   1e-30     	    -55.17018
75 	 15 	 -300.0     	   1e-30     	    -55.13969
75 	 30 	 -300.0     	   1e-30     	    -55.12053
75 	 45 	 -300.0     	   1e-30     	    -55.114
75 	 60 	 -300.0     	   1e-30     	    -55.12057
75 	 75 	 -300.0     	   1e-30     	    -55.13977
75 	 90 	 -300.0     	   1e-30     	    -55.17029
75 	 105 	 -300.0     	   1e-30     	    -55.21003
75 	 120 	 -300.0     	   1e-30     	    -55.25629
75 	 135 	 -300.0     	   1e-30     	    -55.30589
75 	 150 	 -300.0     	   1e-30     	    -55.35544
75 	 165 	 -300.0     	   1e-30     	    -55.40159
75 	 180 	 -300.0     	   1e-30     	    -55.44119
75 	 195 	 -300.0     	   1e-30     	    -55.47155
75 	 210 	 -300.0     	   1e-30     	    -55.49062
75 	 225 	 -300.0     	   1e-30     	    -55.49711
75 	 240 	 -300.0     	   1e-30     	    -55.49058
75 	 255 	 -300.0     	   1e-30     	    -55.47148
75 	 270 	 -300.0     	   1e-30     	    -55.44108
75 	 285 	 -300.0     	   1e-30     	    -55.40146
75 	 300 	 -300.0     	   1e-30     	    -55.3553
