Freq. (Hz) 	 V/sqrt(Hz) 
7.76953e+08	3.0723e-96
7.82031e+08	3.02685e-96
7.87109e+08	2.84886e-96
7.92188e+08	2.60384e-96
7.97266e+08	2.52819e-96
8.02344e+08	2.45078e-96
8.07422e+08	2.3537e-96
8.125e+08	2.23307e-96
8.17578e+08	2.21906e-96
8.22656e+08	2.18774e-96
8.27734e+08	2.089e-96
8.32812e+08	1.93259e-96
8.37891e+08	1.77499e-96
8.42969e+08	1.63539e-96
8.48047e+08	1.46857e-96
8.53125e+08	1.40429e-96
8.58203e+08	1.44065e-96
8.63281e+08	1.54678e-96
8.68359e+08	1.68e-96
8.73438e+08	1.59107e-96
8.78516e+08	1.46717e-96
8.83594e+08	1.42805e-96
8.88672e+08	1.73957e-96
8.9375e+08	1.79209e-96
8.98828e+08	1.66695e-96
9.03906e+08	1.48976e-96
9.08984e+08	1.56985e-96
9.14062e+08	1.73023e-96
9.19141e+08	1.86315e-96
9.24219e+08	1.86192e-96
9.29297e+08	1.93456e-96
9.34375e+08	2.04436e-96
9.39453e+08	2.05297e-96
9.44531e+08	1.93675e-96
9.49609e+08	1.93675e-96
9.54688e+08	1.93675e-96
9.59766e+08	1.93675e-96
9.64844e+08	1.83779e-96
9.69922e+08	1.83779e-96
9.75e+08	1.83779e-96
9.80078e+08	1.91719e-96
9.85156e+08	1.91719e-96
9.90234e+08	1.91719e-96
9.95312e+08	1.91719e-96
1.00039e+09	1.69088e-96
1.00547e+09	1.69088e-96
1.01055e+09	1.69088e-96
1.01562e+09	1.69088e-96
1.0207e+09	1.63121e-96
1.02578e+09	1.63121e-96
1.03086e+09	1.63121e-96
1.03594e+09	1.63121e-96
1.04102e+09	1.78075e-96
1.04609e+09	1.78075e-96
1.05117e+09	1.78075e-96
1.05625e+09	1.78075e-96
1.06133e+09	1.62741e-96
1.06641e+09	1.62741e-96
1.07148e+09	1.62741e-96
1.07656e+09	1.62741e-96
1.08164e+09	1.62023e-96
1.08672e+09	1.62023e-96
1.0918e+09	1.62023e-96
1.09688e+09	1.62023e-96
1.10195e+09	1.59257e-96
1.10703e+09	1.59257e-96
1.11211e+09	1.59257e-96
1.11719e+09	1.59257e-96
1.12227e+09	1.56676e-96
1.12734e+09	1.56676e-96
1.13242e+09	1.56676e-96
1.1375e+09	1.56676e-96
1.14258e+09	1.54032e-96
1.14766e+09	1.54032e-96
1.15273e+09	1.54032e-96
1.15781e+09	1.54032e-96
1.16289e+09	1.58028e-96
1.16797e+09	1.58028e-96
